taxa	determinant	coefficient	stdev	pvalue	formula	method	n	freq
t123	General.Age	-0.3361742775780698	0.07534287401833431	2.142941731821906e-14	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t123	Reproductive.haschildrenTRUE	0.19672330773595134	0.1560457916509912	0.030123463141423314	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t123	Technical.dna_conc	-0.15406705946355514	0.06191690343561639	1.9081318091152863e-5	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t124	(Intercept)	5.325245255926124	0.08419770299543668	0	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t124	General.Age	-0.334665953771357	0.075370065788049	2.9188181775433514e-14	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t124	Reproductive.haschildrenTRUE	0.18765452835999508	0.1560712219710028	0.03870045869209747	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t124	Technical.dna_conc	-0.15671210052313503	0.06191960995480597	1.383061195069229e-5	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t125	(Intercept)	5.316767643109834	0.08416471114631209	0	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t125	General.Age	-0.3414729988793032	0.07533561119414418	9.09984305386502e-15	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t125	Reproductive.haschildrenTRUE	0.209913575691458	0.1560752513225359	0.02088092818503824	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t125	Technical.dna_conc	-0.15632259032766996	0.06191883164043218	1.4795215840556221e-5	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t126	(Intercept)	5.345614731497605	0.0842778351544119	0	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t126	General.Age	-0.3457032497188675	0.07539402059896169	1.415482083021686e-14	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t126	Reproductive.haschildrenTRUE	0.19363735229052045	0.1562194372316595	0.03667602544542519	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t126	Technical.dna_conc	-0.15206006182060688	0.062019208594290075	3.649674297404361e-5	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t127	(Intercept)	5.31768259122238	0.08416696913512488	0	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t127	General.Age	-0.3361742775780698	0.07534287401833431	2.142941731821906e-14	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t127	Reproductive.haschildrenTRUE	0.19672330773595134	0.1560457916509912	0.030123463141423314	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t127	Technical.dna_conc	-0.15406705946355514	0.06191690343561639	1.9081318091152863e-5	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t128	(Intercept)	5.319343668346199	0.08417360333564204	0	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t128	General.Age	-0.33560749332216105	0.0753495711001325	2.3574386663720416e-14	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t128	Reproductive.haschildrenTRUE	0.19448669777311234	0.15605119281112462	0.03202661377420715	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t128	Technical.dna_conc	-0.1551306782418921	0.061915282376390775	1.6655667820622325e-5	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t129	(Intercept)	5.320181460854161	0.08418996676565826	0	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t129	General.Age	-0.3308903472661278	0.07540348031627177	5.4659476510720443e-14	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t129	Reproductive.haschildrenTRUE	0.19406640802922343	0.15608696711495124	0.03238305809031831	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t129	Technical.dna_conc	-0.15598743625632655	0.06191460686949615	1.4862186170711926e-5	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t13	(Intercept)	5.320142389490061	0.08417707114093845	0	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t13	General.Age	-0.33635405695251447	0.07535283131579187	2.0223329574111372e-14	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t13	Reproductive.haschildrenTRUE	0.19685489101699175	0.15607208699635897	0.02994566314281816	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
